,filename,place,floor,x,y,orientation,sample_id,mac_address,timestamp,signal_strength
115,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,12,00:15:f9:6c:7a:d0,1461864822344,-70
116,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,12,00:17:df:7d:70:50,1461864822344,-88
117,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,12,00:17:df:7d:70:51,1461864822344,-87
118,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,12,00:17:df:7d:70:52,1461864822344,-88
119,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,13,00:15:f9:6c:7a:e1,1461864822344,-58
120,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,13,00:15:f9:6c:7a:e0,1461864822344,-57
121,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,13,00:15:f9:6c:7a:e2,1461864822344,-58
122,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,13,00:15:f9:6c:7a:d2,1461864822344,-69
123,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,13,00:15:f9:6c:7a:d1,1461864822344,-70
124,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,13,00:15:f9:6c:7a:d0,1461864822344,-70
125,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,13,00:17:df:7d:70:50,1461864822344,-88
126,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,13,00:17:df:7d:70:51,1461864822344,-87
127,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,13,00:17:df:7d:70:52,1461864822344,-88
128,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,14,00:15:f9:6c:7a:e1,1461864822344,-58
